Date,High,Low,Open,Close,Volume,Adj Close
2017-02-06,221.5,205.5,205.5,213.5,4170915.0,175.12911987304688
2017-02-07,211.0,206.0,211.0,208.0,1657900.0,170.61761474609375
2017-02-08,210.5,203.0,208.5,203.0,1351253.0,166.51622009277344
2017-02-09,208.5,203.5,205.0,205.0,988463.0,168.1567840576172
2017-02-10,212.5,206.0,207.5,206.0,1938629.0,168.97706604003906
2017-02-13,212.5,207.5,208.0,212.0,1661569.0,173.89871215820312
2017-02-14,214.0,207.0,212.5,207.0,1346978.0,169.7973175048828
2017-02-15,209.0,206.0,208.0,206.5,821311.0,169.38719177246094
2017-02-16,208.5,204.5,208.5,205.0,681200.0,168.1567840576172
2017-02-17,211.0,205.5,206.5,209.0,1189644.0,171.43788146972656
2017-02-20,220.0,208.0,210.5,208.0,3663447.0,170.61761474609375
2017-02-21,210.5,204.0,210.0,206.5,1428819.0,169.38719177246094
2017-02-22,212.0,206.0,208.0,211.0,1070594.0,173.07843017578125
2017-02-23,212.0,208.0,210.0,208.0,933422.0,170.61761474609375
2017-02-24,208.5,206.0,208.5,206.0,661662.0,168.97706604003906
2017-03-01,206.5,194.0,206.5,194.5,2689138.0,159.54385375976562
2017-03-02,197.0,180.5,196.5,186.0,3905603.0,152.57150268554688
2017-03-03,189.0,182.0,185.5,184.5,1453558.0,151.34109497070312
2017-03-06,188.0,184.5,184.5,188.0,763786.0,154.21206665039062
2017-03-07,190.0,185.5,190.0,187.5,626649.0,153.80191040039062
2017-03-08,187.5,181.5,187.5,185.0,986300.0,151.751220703125
2017-03-09,189.0,183.0,184.5,185.0,783250.0,151.751220703125
2017-03-10,186.5,182.5,184.5,186.5,571357.0,152.98165893554688
2017-03-13,187.0,182.5,186.5,184.0,527549.0,150.93096923828125
2017-03-14,185.5,181.0,184.0,182.5,850235.0,149.70054626464844
2017-03-15,193.0,184.5,184.5,186.0,1441352.0,152.57150268554688
2017-03-16,189.0,186.5,188.0,186.5,636288.0,152.98165893554688
2017-03-17,188.0,185.0,188.0,186.5,286972.0,152.98165893554688
2017-03-20,191.5,187.5,188.5,188.5,580800.0,154.62220764160156
2017-03-21,193.0,189.5,189.5,190.5,807888.0,156.2627410888672
2017-03-22,189.5,186.0,188.5,188.5,484558.0,154.62220764160156
2017-03-23,193.0,187.0,190.0,190.5,868225.0,156.2627410888672
2017-03-24,192.5,190.5,190.5,191.5,406753.0,157.08302307128906
2017-03-27,198.5,192.0,196.5,192.0,990121.0,157.4931640625
2017-03-28,195.0,187.0,194.0,188.5,592853.0,154.62220764160156
2017-03-29,192.5,186.5,190.5,192.5,760311.0,157.90330505371094
2017-03-30,193.0,190.0,192.0,190.5,387201.0,156.2627410888672
2017-03-31,194.0,189.0,191.0,191.5,526197.0,157.08302307128906
2017-04-05,191.5,186.0,191.0,188.0,990411.0,154.21206665039062
2017-04-06,189.0,186.5,187.5,188.5,288820.0,154.62220764160156
2017-04-07,189.0,182.5,188.5,185.0,438408.0,151.751220703125
2017-04-10,196.5,186.0,188.5,193.0,1363161.0,158.3134307861328
2017-04-11,192.5,187.0,192.0,188.0,605370.0,154.21206665039062
2017-04-12,192.5,184.0,187.5,191.0,635600.0,156.6728973388672
2017-04-13,192.5,187.5,190.5,189.5,320184.0,155.44247436523438
2017-04-14,190.5,185.0,189.5,185.0,452600.0,151.751220703125
2017-04-17,187.0,177.5,185.0,181.0,921399.0,148.47012329101562
2017-04-18,185.0,182.5,182.5,185.0,338100.0,151.751220703125
2017-04-19,187.5,183.5,186.0,186.5,509743.0,152.98165893554688
2017-04-20,188.5,185.0,187.0,188.5,353202.0,154.62220764160156
2017-04-21,191.0,189.0,189.0,190.0,517315.0,155.8526153564453
2017-04-24,191.0,185.0,191.0,186.0,312747.0,152.57150268554688
2017-04-25,189.5,187.5,187.5,188.0,228070.0,154.21206665039062
2017-04-26,190.5,188.0,189.0,189.5,229422.0,155.44247436523438
2017-04-27,190.5,188.0,190.5,190.0,287491.0,155.8526153564453
2017-04-28,202.5,192.0,192.0,193.5,2976100.0,158.7235870361328
2017-05-02,195.5,191.5,194.5,195.0,848129.0,159.95399475097656
2017-05-03,206.5,194.5,195.0,205.0,4340089.0,168.1567840576172
