Date,High,Low,Open,Close,Volume,Adj Close
2017-02-06,146.0,143.5,144.0,145.5,362640.0,145.5
2017-02-07,153.0,144.5,146.0,151.0,773650.0,151.0
2017-02-08,155.0,151.0,151.0,153.5,725472.0,153.5
2017-02-09,155.0,152.0,155.0,152.5,402655.0,152.5
2017-02-10,154.0,151.0,154.0,151.0,454205.0,151.0
2017-02-13,153.5,151.0,151.0,153.5,309052.0,153.5
2017-02-14,158.5,154.0,155.0,154.0,498600.0,154.0
2017-02-15,156.0,152.5,156.0,154.0,271707.0,154.0
2017-02-16,157.0,154.0,155.0,156.5,510694.0,156.5
2017-02-17,159.5,156.5,157.5,159.0,596602.0,159.0
2017-02-20,162.0,157.0,161.5,159.0,393646.0,159.0
2017-02-21,160.0,156.0,158.5,160.0,425239.0,160.0
2017-02-22,164.5,158.0,163.0,158.5,664250.0,158.5
2017-02-23,161.0,157.5,160.0,159.0,262011.0,159.0
2017-02-24,162.5,158.5,159.0,162.5,494652.0,162.5
2017-03-01,164.0,159.0,164.0,160.5,544859.0,160.5
2017-03-02,163.5,160.0,162.5,163.5,682496.0,163.5
2017-03-03,166.0,163.5,163.5,165.5,668923.0,165.5
2017-03-06,172.5,166.5,167.0,172.0,1138117.0,172.0
2017-03-07,174.5,167.5,174.5,169.0,900296.0,169.0
2017-03-08,172.0,167.5,168.0,171.5,609830.0,171.5
2017-03-09,174.0,171.0,171.0,172.0,670417.0,172.0
2017-03-10,173.0,168.0,172.5,172.0,578634.0,172.0
2017-03-13,175.0,171.5,172.0,173.0,587769.0,173.0
2017-03-14,176.0,171.5,173.0,175.5,686870.0,175.5
2017-03-15,176.0,173.5,175.5,175.0,631723.0,175.0
2017-03-16,176.5,174.5,176.5,174.5,302230.0,174.5
2017-03-17,174.5,168.0,174.0,170.5,4110898.0,170.5
2017-03-20,170.5,166.0,170.5,166.0,696515.0,166.0
2017-03-21,167.5,161.0,167.5,162.0,780204.0,162.0
2017-03-22,167.5,159.0,161.0,166.0,531372.0,166.0
2017-03-23,168.0,164.0,167.0,165.0,233320.0,165.0
2017-03-24,165.0,163.0,164.5,163.5,198150.0,163.5
2017-03-27,164.0,161.5,164.0,162.0,226450.0,162.0
2017-03-28,164.5,157.5,163.5,162.0,453600.0,162.0
2017-03-29,164.5,161.0,162.0,163.0,259530.0,163.0
2017-03-30,163.0,159.5,163.0,160.0,242800.0,160.0
2017-03-31,160.0,156.5,159.0,156.5,766710.0,156.5
2017-04-05,158.0,153.0,155.0,156.5,419712.0,156.5
2017-04-06,158.0,154.0,158.0,154.5,182947.0,154.5
2017-04-07,157.0,154.5,156.0,157.0,206922.0,157.0
2017-04-10,156.0,153.0,155.5,154.5,296395.0,154.5
2017-04-11,155.5,152.5,155.0,154.5,273580.0,154.5
2017-04-12,154.5,151.0,154.0,154.5,263445.0,154.5
2017-04-13,154.5,151.5,154.5,154.0,223412.0,154.0
2017-04-14,153.0,150.5,153.0,150.5,218820.0,150.5
2017-04-17,150.5,146.0,150.0,147.0,315949.0,147.0
2017-04-18,153.0,148.0,148.0,152.0,231425.0,152.0
2017-04-19,152.0,149.0,149.0,152.0,120625.0,152.0
2017-04-20,158.0,150.5,151.0,156.0,416101.0,156.0
2017-04-21,158.0,155.5,156.0,156.0,174409.0,156.0
2017-04-24,157.0,153.5,157.0,153.5,178501.0,153.5
2017-04-25,156.5,152.0,156.5,153.0,148318.0,153.0
2017-04-26,155.0,152.0,155.0,152.0,188530.0,152.0
2017-04-27,153.5,150.0,153.5,151.0,253003.0,151.0
2017-04-28,152.0,150.0,151.0,150.5,305995.0,150.5
2017-05-02,152.0,150.5,151.5,152.0,148327.0,152.0
2017-05-03,152.0,150.0,151.5,151.5,146524.0,151.5
2017-05-04,152.5,150.5,151.5,150.5,161947.0,150.5
2017-05-05,151.0,148.0,151.0,149.5,267150.0,149.5
2017-05-08,149.5,145.5,149.5,146.0,296150.0,146.0
2017-05-09,146.0,142.0,146.0,142.0,282075.0,142.0
2017-05-10,145.0,142.0,142.0,145.0,137215.0,145.0
2017-05-11,145.0,143.5,144.5,144.5,109843.0,144.5
2017-05-12,145.0,142.5,144.5,144.5,161300.0,144.5
2017-05-15,150.5,146.0,146.5,148.0,294280.0,148.0
2017-05-16,150.0,147.0,150.0,149.0,175811.0,149.0
2017-05-17,149.0,143.0,149.0,145.5,290045.0,145.5
2017-05-18,144.5,142.0,142.0,144.5,218000.0,144.5
2017-05-19,144.5,142.5,144.5,144.0,180200.0,144.0
2017-05-22,146.0,143.0,146.0,144.5,132714.0,144.5
2017-05-23,144.5,143.0,144.5,143.5,96013.0,143.5
2017-05-24,149.0,144.0,144.0,148.5,456240.0,148.5
2017-05-25,147.5,145.5,147.5,147.0,166013.0,147.0
2017-05-26,148.0,145.0,147.5,145.5,133200.0,145.5
